time,latitude,longitude,altitude,co2
1625204417,45.651464,25.615426,100,610
1625204477,45.651464,25.615426,100,612
1625204538,45.651464,25.615426,100,613
1625204598,45.651464,25.615426,100,615
1625204657,45.651464,25.615426,100,612
1625204717,45.651464,25.615426,100,608
1625204777,45.651464,25.615426,100,604
1625204837,45.651464,25.615426,100,606
1625204897,45.651464,25.615426,100,603
1625204957,45.651464,25.615426,100,604
1625205018,45.651464,25.615426,100,608
1625205077,45.651464,25.615426,100,616
1625205138,45.651464,25.615426,100,617
1625205198,45.651464,25.615426,100,616
1625205258,45.651464,25.615426,100,617
1625205318,45.651464,25.615426,100,613
1625205377,45.651464,25.615426,100,607
1625205437,45.651464,25.615426,100,609
1625205498,45.651464,25.615426,100,607
1625205557,45.651464,25.615426,100,608
1625205618,45.651464,25.615426,100,610
1625205677,45.651464,25.615426,100,610
1625205738,45.651464,25.615426,100,609
1625205798,45.651464,25.615426,100,606
1625205858,45.651464,25.615426,100,606
1625205918,45.651464,25.615426,100,601
1625205978,45.651464,25.615426,100,598
1625206038,45.651464,25.615426,100,598
1625206098,45.651464,25.615426,100,599
1625206158,45.651464,25.615426,100,600
1625206218,45.651464,25.615426,100,599
1625206277,45.651464,25.615426,100,596
1625206337,45.651464,25.615426,100,598
1625206398,45.651464,25.615426,100,597
1625206458,45.651464,25.615426,100,594
1625206517,45.651464,25.615426,100,592
1625206577,45.651464,25.615426,100,597
1625206637,45.651464,25.615426,100,597
1625206697,45.651464,25.615426,100,595
1625206758,45.651464,25.615426,100,592
1625206818,45.651464,25.615426,100,590
1625206877,45.651464,25.615426,100,590
1625206937,45.651464,25.615426,100,592
1625206997,45.651464,25.615426,100,600
1625207057,45.651464,25.615426,100,605
1625207117,45.651464,25.615426,100,605
1625207177,45.651464,25.615426,100,601
1625207237,45.651464,25.615426,100,601
1625207297,45.651464,25.615426,100,600
1625207357,45.651464,25.615426,100,598
1625207417,45.651464,25.615426,100,600
1625207477,45.651464,25.615426,100,599
1625207537,45.651464,25.615426,100,597
1625207598,45.651464,25.615426,100,593
1625207658,45.651464,25.615426,100,593
1625207718,45.651464,25.615426,100,594
1625207778,45.651464,25.615426,100,594
1625207837,45.651464,25.615426,100,590
1625207897,45.651464,25.615426,100,585
1625207957,45.651464,25.615426,100,585
1625208018,45.651464,25.615426,100,579
1625208078,45.651464,25.615426,100,580
1625208138,45.651464,25.615426,100,581
1625208198,45.651464,25.615426,100,585
1625208257,45.651464,25.615426,100,581
1625208318,45.651464,25.615426,100,581
1625208377,45.651464,25.615426,100,585
1625208438,45.651464,25.615426,100,582
1625208497,45.651464,25.615426,100,583
1625208557,45.651464,25.615426,100,585
1625208617,45.651464,25.615426,100,581
1625208678,45.651464,25.615426,100,577
1625208738,45.651464,25.615426,100,583
1625208798,45.651464,25.615426,100,587
1625208858,45.651464,25.615426,100,586
1625208918,45.651464,25.615426,100,586
1625208978,45.651464,25.615426,100,589
1625209037,45.651464,25.615426,100,589
1625209098,45.651464,25.615426,100,590
1625209157,45.651464,25.615426,100,587
1625209217,45.651464,25.615426,100,587
1625209277,45.651464,25.615426,100,586
1625209337,45.651464,25.615426,100,587
1625209398,45.651464,25.615426,100,589
1625209457,45.651464,25.615426,100,591
1625209517,45.651464,25.615426,100,589
1625209578,45.651464,25.615426,100,591
1625209637,45.651464,25.615426,100,596
1625209698,45.651464,25.615426,100,597
1625209757,45.651464,25.615426,100,597
1625209817,45.651464,25.615426,100,599
1625209878,45.651464,25.615426,100,600
1625209937,45.651464,25.615426,100,600
1625209997,45.651464,25.615426,100,599
1625210058,45.651464,25.615426,100,598
1625210117,45.651464,25.615426,100,601
1625210178,45.651464,25.615426,100,598
1625210237,45.651464,25.615426,100,601
1625210297,45.651464,25.615426,100,604
1625210357,45.651464,25.615426,100,605
1625210418,45.651464,25.615426,100,605
1625210478,45.651464,25.615426,100,604
1625210537,45.651464,25.615426,100,609
1625210597,45.651464,25.615426,100,605
1625210657,45.651464,25.615426,100,604
1625210717,45.651464,25.615426,100,600
1625210777,45.651464,25.615426,100,598
1625210837,45.651464,25.615426,100,599
1625210897,45.651464,25.615426,100,599
1625210957,45.651464,25.615426,100,598
1625211017,45.651464,25.615426,100,594
1625211077,45.651464,25.615426,100,594
1625211138,45.651464,25.615426,100,599
1625211197,45.651464,25.615426,100,596
1625211257,45.651464,25.615426,100,592
1625211317,45.651464,25.615426,100,595
1625211378,45.651464,25.615426,100,598
1625211437,45.651464,25.615426,100,602
1625211497,45.651464,25.615426,100,603
1625211557,45.651464,25.615426,100,604
1625211618,45.651464,25.615426,100,602
1625211677,45.651464,25.615426,100,604
