time,latitude,longitude,altitude,pm10
1639452933,45.651464,25.615426,538,15
1639452993,45.651464,25.615426,538,15
1639453053,45.651464,25.615426,538,16
1639453113,45.651464,25.615426,538,15
1639453173,45.651464,25.615426,538,15
1639453233,45.651464,25.615426,538,15
1639453293,45.651464,25.615426,538,15
1639453353,45.651464,25.615426,538,17
1639453413,45.651464,25.615426,538,17
1639453473,45.651464,25.615426,538,17
1639453533,45.651464,25.615426,538,15
1639453593,45.651464,25.615426,538,15
1639453653,45.651464,25.615426,538,15
1639453713,45.651464,25.615426,538,15
1639453773,45.651464,25.615426,538,15
1639453833,45.651464,25.615426,538,15
1639453893,45.651464,25.615426,538,15
1639453953,45.651464,25.615426,538,15
1639454013,45.651464,25.615426,538,17
1639454073,45.651464,25.615426,538,17
1639454133,45.651464,25.615426,538,17
1639454193,45.651464,25.615426,538,16
1639454253,45.651464,25.615426,538,17
1639454313,45.651464,25.615426,538,16
1639454373,45.651464,25.615426,538,15
1639454433,45.651464,25.615426,538,14
1639454493,45.651464,25.615426,538,13
1639454553,45.651464,25.615426,538,14
1639454613,45.651464,25.615426,538,13
1639454673,45.651464,25.615426,538,13
1639454733,45.651464,25.615426,538,13
1639454793,45.651464,25.615426,538,13
1639454853,45.651464,25.615426,538,12
1639454913,45.651464,25.615426,538,13
1639454973,45.651464,25.615426,538,13
1639455033,45.651464,25.615426,538,14
1639455093,45.651464,25.615426,538,15
1639455153,45.651464,25.615426,538,13
1639455213,45.651464,25.615426,538,13
1639455273,45.651464,25.615426,538,13
1639455333,45.651464,25.615426,538,13
1639455393,45.651464,25.615426,538,13
1639455453,45.651464,25.615426,538,13
1639455513,45.651464,25.615426,538,13
1639455573,45.651464,25.615426,538,13
1639455633,45.651464,25.615426,538,13
1639455692,45.651464,25.615426,538,13
1639455753,45.651464,25.615426,538,13
1639455812,45.651464,25.615426,538,14
1639455872,45.651464,25.615426,538,14
1639455933,45.651464,25.615426,538,14
1639455993,45.651464,25.615426,538,14
1639456052,45.651464,25.615426,538,14
1639456112,45.651464,25.615426,538,14
1639456172,45.651464,25.615426,538,14
1639456232,45.651464,25.615426,538,14
1639456292,45.651464,25.615426,538,15
1639456352,45.651464,25.615426,538,14
1639456412,45.651464,25.615426,538,14
1639456472,45.651464,25.615426,538,13
1639456532,45.651464,25.615426,538,17
1639456592,45.651464,25.615426,538,20
1639456652,45.651464,25.615426,538,18
1639456712,45.651464,25.615426,538,15
1639456772,45.651464,25.615426,538,13
1639456832,45.651464,25.615426,538,14
1639456892,45.651464,25.615426,538,15
1639456952,45.651464,25.615426,538,14
1639457012,45.651464,25.615426,538,14
1639457072,45.651464,25.615426,538,13
1639457132,45.651464,25.615426,538,14
1639457192,45.651464,25.615426,538,14
1639457252,45.651464,25.615426,538,14
1639457312,45.651464,25.615426,538,14
1639457372,45.651464,25.615426,538,14
1639457432,45.651464,25.615426,538,14
1639457492,45.651464,25.615426,538,14
1639457552,45.651464,25.615426,538,16
1639457612,45.651464,25.615426,538,15
1639457672,45.651464,25.615426,538,14
1639457732,45.651464,25.615426,538,15
1639457792,45.651464,25.615426,538,17
1639457852,45.651464,25.615426,538,18
1639457912,45.651464,25.615426,538,18
1639457972,45.651464,25.615426,538,18
1639458032,45.651464,25.615426,538,18
1639458092,45.651464,25.615426,538,17
1639458152,45.651464,25.615426,538,17
1639458212,45.651464,25.615426,538,17
1639458272,45.651464,25.615426,538,18
1639458332,45.651464,25.615426,538,17
1639458392,45.651464,25.615426,538,14
1639458452,45.651464,25.615426,538,16
1639458512,45.651464,25.615426,538,17
1639458572,45.651464,25.615426,538,15
1639458632,45.651464,25.615426,538,15
1639458692,45.651464,25.615426,538,15
1639458752,45.651464,25.615426,538,15
1639458812,45.651464,25.615426,538,17
1639458872,45.651464,25.615426,538,17
1639458932,45.651464,25.615426,538,17
1639458992,45.651464,25.615426,538,17
1639459052,45.651464,25.615426,538,17
1639459112,45.651464,25.615426,538,17
1639459172,45.651464,25.615426,538,17
1639459232,45.651464,25.615426,538,17
1639459292,45.651464,25.615426,538,16
1639459352,45.651464,25.615426,538,16
1639459412,45.651464,25.615426,538,16
1639459472,45.651464,25.615426,538,17
1639459532,45.651464,25.615426,538,17
1639459592,45.651464,25.615426,538,17
1639459652,45.651464,25.615426,538,15
1639459712,45.651464,25.615426,538,16
1639459772,45.651464,25.615426,538,17
1639459832,45.651464,25.615426,538,17
1639459892,45.651464,25.615426,538,17
1639459952,45.651464,25.615426,538,18
1639460012,45.651464,25.615426,538,18
1639460072,45.651464,25.615426,538,20
1639460132,45.651464,25.615426,538,21
1639460192,45.651464,25.615426,538,21
1639460252,45.651464,25.615426,538,19
1639460312,45.651464,25.615426,538,19
1639460372,45.651464,25.615426,538,22
1639460432,45.651464,25.615426,538,22
1639460492,45.651464,25.615426,538,21
1639460552,45.651464,25.615426,538,21
1639460612,45.651464,25.615426,538,21
1639460672,45.651464,25.615426,538,20
1639460732,45.651464,25.615426,538,22
1639460792,45.651464,25.615426,538,22
1639460852,45.651464,25.615426,538,23
1639460912,45.651464,25.615426,538,22
1639460972,45.651464,25.615426,538,22
1639461032,45.651464,25.615426,538,23
1639461092,45.651464,25.615426,538,22
1639461152,45.651464,25.615426,538,23
1639461212,45.651464,25.615426,538,25
1639461272,45.651464,25.615426,538,24
1639461332,45.651464,25.615426,538,24
1639461392,45.651464,25.615426,538,23
1639461452,45.651464,25.615426,538,24
1639461512,45.651464,25.615426,538,24
1639461572,45.651464,25.615426,538,24
1639461632,45.651464,25.615426,538,25
1639461692,45.651464,25.615426,538,24
1639461752,45.651464,25.615426,538,24
1639461812,45.651464,25.615426,538,23
1639461872,45.651464,25.615426,538,25
1639461932,45.651464,25.615426,538,25
1639461992,45.651464,25.615426,538,25
1639462052,45.651464,25.615426,538,30
1639462112,45.651464,25.615426,538,28
1639462172,45.651464,25.615426,538,34
1639462232,45.651464,25.615426,538,27
1639462292,45.651464,25.615426,538,26
1639462352,45.651464,25.615426,538,26
1639462412,45.651464,25.615426,538,24
1639462472,45.651464,25.615426,538,26
1639462532,45.651464,25.615426,538,25
1639462592,45.651464,25.615426,538,27
1639462652,45.651464,25.615426,538,25
1639462712,45.651464,25.615426,538,26
1639462772,45.651464,25.615426,538,25
1639462832,45.651464,25.615426,538,25
1639462892,45.651464,25.615426,538,27
1639462952,45.651464,25.615426,538,35
1639463012,45.651464,25.615426,538,36
1639463072,45.651464,25.615426,538,39
1639463132,45.651464,25.615426,538,34
1639463192,45.651464,25.615426,538,29
1639463252,45.651464,25.615426,538,29
1639463312,45.651464,25.615426,538,28
1639463372,45.651464,25.615426,538,27
1639463432,45.651464,25.615426,538,26
1639463492,45.651464,25.615426,538,26
1639463552,45.651464,25.615426,538,26
1639463612,45.651464,25.615426,538,25
1639463672,45.651464,25.615426,538,22
1639463732,45.651464,25.615426,538,22
1639463792,45.651464,25.615426,538,24
1639463852,45.651464,25.615426,538,26
1639463912,45.651464,25.615426,538,24
1639463972,45.651464,25.615426,538,23
1639464032,45.651464,25.615426,538,22
1639464092,45.651464,25.615426,538,22
1639464152,45.651464,25.615426,538,22
1639464212,45.651464,25.615426,538,21
1639464272,45.651464,25.615426,538,21
1639464332,45.651464,25.615426,538,21
1639464392,45.651464,25.615426,538,21
1639464452,45.651464,25.615426,538,21
1639464512,45.651464,25.615426,538,20
1639464572,45.651464,25.615426,538,20
1639464632,45.651464,25.615426,538,20
1639464692,45.651464,25.615426,538,21
1639464752,45.651464,25.615426,538,21
1639464812,45.651464,25.615426,538,21
1639464872,45.651464,25.615426,538,21
1639464932,45.651464,25.615426,538,22
1639464992,45.651464,25.615426,538,22
1639465052,45.651464,25.615426,538,22
1639465112,45.651464,25.615426,538,22
1639465172,45.651464,25.615426,538,22
1639465232,45.651464,25.615426,538,24
1639465292,45.651464,25.615426,538,22
1639465352,45.651464,25.615426,538,22
1639465412,45.651464,25.615426,538,22
1639465472,45.651464,25.615426,538,40
1639465532,45.651464,25.615426,538,28
1639465592,45.651464,25.615426,538,26
1639465652,45.651464,25.615426,538,26
1639465712,45.651464,25.615426,538,26
1639465772,45.651464,25.615426,538,25
1639465832,45.651464,25.615426,538,24
1639465892,45.651464,25.615426,538,23
1639465952,45.651464,25.615426,538,24
1639466012,45.651464,25.615426,538,23
1639466072,45.651464,25.615426,538,23
1639466132,45.651464,25.615426,538,24
1639466192,45.651464,25.615426,538,24
1639466252,45.651464,25.615426,538,24
1639466312,45.651464,25.615426,538,25
1639466372,45.651464,25.615426,538,28
1639466432,45.651464,25.615426,538,26
1639466492,45.651464,25.615426,538,24
1639466552,45.651464,25.615426,538,24
1639466612,45.651464,25.615426,538,24
1639466672,45.651464,25.615426,538,26
1639466732,45.651464,25.615426,538,27
1639466792,45.651464,25.615426,538,27
1639466852,45.651464,25.615426,538,27
1639466912,45.651464,25.615426,538,29
1639466972,45.651464,25.615426,538,28
1639467032,45.651464,25.615426,538,26
1639467092,45.651464,25.615426,538,26
1639467152,45.651464,25.615426,538,27
1639467212,45.651464,25.615426,538,28
1639467272,45.651464,25.615426,538,29
1639467332,45.651464,25.615426,538,28
1639467392,45.651464,25.615426,538,27
1639467452,45.651464,25.615426,538,27
1639467512,45.651464,25.615426,538,25
1639467572,45.651464,25.615426,538,25
1639467632,45.651464,25.615426,538,25
1639467692,45.651464,25.615426,538,23
1639467752,45.651464,25.615426,538,26
1639467812,45.651464,25.615426,538,27
1639467872,45.651464,25.615426,538,27
1639467932,45.651464,25.615426,538,26
1639467992,45.651464,25.615426,538,25
1639468052,45.651464,25.615426,538,24
1639468112,45.651464,25.615426,538,27
1639468172,45.651464,25.615426,538,26
1639468232,45.651464,25.615426,538,27
1639468292,45.651464,25.615426,538,26
1639468352,45.651464,25.615426,538,26
1639468412,45.651464,25.615426,538,25
1639468472,45.651464,25.615426,538,26
1639468532,45.651464,25.615426,538,26
1639468592,45.651464,25.615426,538,24
1639468652,45.651464,25.615426,538,26
1639468712,45.651464,25.615426,538,27
1639468772,45.651464,25.615426,538,26
1639468832,45.651464,25.615426,538,26
1639468892,45.651464,25.615426,538,24
1639468952,45.651464,25.615426,538,26
1639469012,45.651464,25.615426,538,24
1639469072,45.651464,25.615426,538,21
1639469132,45.651464,25.615426,538,20
1639469192,45.651464,25.615426,538,21
1639469252,45.651464,25.615426,538,22
1639469312,45.651464,25.615426,538,20
1639469372,45.651464,25.615426,538,20
1639469432,45.651464,25.615426,538,20
1639469492,45.651464,25.615426,538,23
1639469552,45.651464,25.615426,538,21
1639469612,45.651464,25.615426,538,21
1639469672,45.651464,25.615426,538,21
1639469732,45.651464,25.615426,538,21
1639469792,45.651464,25.615426,538,23
1639469852,45.651464,25.615426,538,21
1639469912,45.651464,25.615426,538,20
1639469972,45.651464,25.615426,538,20
1639470032,45.651464,25.615426,538,20
1639470092,45.651464,25.615426,538,20
1639470152,45.651464,25.615426,538,20
1639470212,45.651464,25.615426,538,19
1639470272,45.651464,25.615426,538,21
1639470332,45.651464,25.615426,538,20
1639470392,45.651464,25.615426,538,20
1639470452,45.651464,25.615426,538,21
1639470512,45.651464,25.615426,538,22
1639470572,45.651464,25.615426,538,21
1639470632,45.651464,25.615426,538,21
1639470692,45.651464,25.615426,538,21
1639470752,45.651464,25.615426,538,21
1639470812,45.651464,25.615426,538,26
1639470872,45.651464,25.615426,538,22
1639470932,45.651464,25.615426,538,20
1639470992,45.651464,25.615426,538,19
1639471052,45.651464,25.615426,538,19
1639471112,45.651464,25.615426,538,18
1639471172,45.651464,25.615426,538,18
1639471232,45.651464,25.615426,538,18
1639471292,45.651464,25.615426,538,19
1639471352,45.651464,25.615426,538,19
1639471412,45.651464,25.615426,538,19
1639471472,45.651464,25.615426,538,17
1639471532,45.651464,25.615426,538,16
1639471592,45.651464,25.615426,538,16
1639471652,45.651464,25.615426,538,15
1639471712,45.651464,25.615426,538,17
1639471772,45.651464,25.615426,538,15
1639471832,45.651464,25.615426,538,16
1639471892,45.651464,25.615426,538,15
1639471952,45.651464,25.615426,538,15
1639472012,45.651464,25.615426,538,15
1639472072,45.651464,25.615426,538,25
1639472132,45.651464,25.615426,538,17
1639472192,45.651464,25.615426,538,17
1639472252,45.651464,25.615426,538,17
1639472312,45.651464,25.615426,538,18
1639472372,45.651464,25.615426,538,19
1639472432,45.651464,25.615426,538,18
1639472492,45.651464,25.615426,538,18
1639472552,45.651464,25.615426,538,18
1639472612,45.651464,25.615426,538,18
1639472672,45.651464,25.615426,538,17
1639472732,45.651464,25.615426,538,17
1639472792,45.651464,25.615426,538,16
1639472852,45.651464,25.615426,538,15
1639472912,45.651464,25.615426,538,16
1639472972,45.651464,25.615426,538,17
1639473032,45.651464,25.615426,538,15
1639473092,45.651464,25.615426,538,16
1639473152,45.651464,25.615426,538,19
1639473212,45.651464,25.615426,538,19
1639473272,45.651464,25.615426,538,18
1639473332,45.651464,25.615426,538,18
1639473392,45.651464,25.615426,538,20
1639473452,45.651464,25.615426,538,20
1639473512,45.651464,25.615426,538,19
1639473572,45.651464,25.615426,538,20
1639473632,45.651464,25.615426,538,20
1639473692,45.651464,25.615426,538,20
1639473752,45.651464,25.615426,538,20
1639473812,45.651464,25.615426,538,19
1639473872,45.651464,25.615426,538,18
1639473932,45.651464,25.615426,538,19
1639473992,45.651464,25.615426,538,20
1639474052,45.651464,25.615426,538,20
1639474112,45.651464,25.615426,538,22
1639474172,45.651464,25.615426,538,21
1639474232,45.651464,25.615426,538,20
1639474292,45.651464,25.615426,538,19
1639474352,45.651464,25.615426,538,18
1639474412,45.651464,25.615426,538,18
1639474472,45.651464,25.615426,538,18
1639474532,45.651464,25.615426,538,19
1639474592,45.651464,25.615426,538,18
1639474652,45.651464,25.615426,538,18
1639474712,45.651464,25.615426,538,19
1639474772,45.651464,25.615426,538,20
1639474832,45.651464,25.615426,538,20
1639474892,45.651464,25.615426,538,20
1639474952,45.651464,25.615426,538,20
1639475012,45.651464,25.615426,538,20
1639475072,45.651464,25.615426,538,21
1639475132,45.651464,25.615426,538,20
1639475192,45.651464,25.615426,538,20
1639475252,45.651464,25.615426,538,20
1639475312,45.651464,25.615426,538,20
1639475372,45.651464,25.615426,538,21
1639475432,45.651464,25.615426,538,20
1639475492,45.651464,25.615426,538,20
1639475552,45.651464,25.615426,538,21
1639475612,45.651464,25.615426,538,21
1639475672,45.651464,25.615426,538,22
1639475732,45.651464,25.615426,538,26
1639475792,45.651464,25.615426,538,25
1639475852,45.651464,25.615426,538,24
1639475912,45.651464,25.615426,538,22
1639475972,45.651464,25.615426,538,21
1639476032,45.651464,25.615426,538,23
1639476092,45.651464,25.615426,538,22
1639476152,45.651464,25.615426,538,25
1639476212,45.651464,25.615426,538,24
1639476272,45.651464,25.615426,538,23
1639476332,45.651464,25.615426,538,24
1639476392,45.651464,25.615426,538,23
1639476452,45.651464,25.615426,538,23
1639476512,45.651464,25.615426,538,24
1639476572,45.651464,25.615426,538,26
1639476632,45.651464,25.615426,538,28
